Year,Month_[1-12],Day_[1-31],Julian_Day_[1-366],Hour_[1-24],Sensible_Heat_Flux_[Watt/meter^2],Surface_Friction_Velocity_[meters/second],Convective_Velocity_Scale_[meters/second],Vertical_Potential_Temperature_Gradient_above_PBL_[kelvin/meter],Convective_Mixing_Height_[meters],Mechanical_Mixing_Height_[meters],Monin-Obukhov_Length_[meters],Surface_Roughness_Length_[meters],Bowen_Ratio,Albedo,Wind_Speed_[meters/second],Wind_Direction_[degrees],Height_of_Anemometer_[meters],Temperature_[kelvin],Height_at_which_Temperature_was_Measured_[meters],Precipitation_Type_Code,Precipitation_Amount_[millmeters/hour],Relative_Humidity_[%],Surface_Pressure_[millibar],Cloud_Cover_[tenths],Data_Flag,
23,1,1,1,1,-38.3,0.438,-9,-9,-999,696,197.8,0.4728,0.44,1,4.1,1,14,298.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,2,-33.8,0.386,-9,-9,-999,578,153.6,0.3161,0.44,1,4.1,358,14,298.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,3,-38.9,0.445,-9,-9,-999,712,204.1,0.3161,0.44,1,4.6,354,14,298.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,4,-43.9,0.502,-9,-9,-999,854,260,0.3161,0.44,1,5.1,343,14,298.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,5,-14.6,0.167,-9,-9,-999,333,28.7,0.3161,0.44,1,2.6,333,14,298.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,1,1,6,-31.7,0.314,-9,-9,-999,422,88.1,0.3161,0.44,0.7,3.6,332,14,297.1,2,0,0,94,1010,3,NAD-SFC,NoSubs
23,1,1,1,7,16.3,0.394,-9,-9,-999,593,-337.7,0.3161,0.44,0.32,3.6,325,14,297.1,2,0,0,94,1010,2,NAD-SFC,Sub_CC
23,1,1,1,8,60.3,0.368,-9,-9,-999,537,-74.6,0.3161,0.44,0.2,3.1,323,14,297.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,1,1,9,101.7,0.335,-9,-9,-999,466,-33.2,0.3161,0.44,0.17,2.6,337,14,297.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,1,1,10,136,0.485,-9,-9,-999,809,-75.3,0.4728,0.44,0.16,3.6,11,14,298.1,2,0,0,89,1010,1,NAD-SFC,NoSubs
23,1,1,1,11,145.2,0.487,-9,-9,-999,815,-71.6,0.4728,0.44,0.16,3.6,14,14,299.1,2,0,0,79,1010,6,NAD-SFC,NoSubs
23,1,1,1,12,158.1,0.491,-9,-9,-999,826,-67.5,0.3161,0.44,0.16,4.1,346,14,300.1,2,0,0,74,1010,6,NAD-SFC,NoSubs
23,1,1,1,13,179.7,0.496,-9,-9,-999,838,-61.1,0.3161,0.44,0.16,4.1,353,14,301.1,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,1,1,14,173.3,0.495,-9,-9,-999,835,-62.9,0.3161,0.44,0.16,4.1,359,14,301.1,2,0,0,66,1010,3,NAD-SFC,NoSubs
23,1,1,1,15,155.2,0.586,-9,-9,-999,1076,-117.1,0.3161,0.44,0.16,5.1,352,14,303.1,2,0,0,62,1010,1,NAD-SFC,NoSubs
23,1,1,1,16,126.9,0.782,-9,-9,-999,1655,-338.8,0.6636,0.44,0.16,5.7,54,14,303.1,2,0,0,66,1010,1,NAD-SFC,NoSubs
23,1,1,1,17,89.6,0.836,-9,-9,-999,1828,-586.1,0.6636,0.44,0.18,6.2,61,14,302.1,2,0,0,66,1010,1,NAD-SFC,NoSubs
